1,홍길동,91,56,76,223,74,1
2,이순신,61,100,91,252,84,1
3,강감찬,73,66,97,236,78,1
4,유관순,58,65,57,180,60,1
5,김구,77,98,68,243,81,1
6,김유신,75,94,95,264,88,1
7,홍길자,81,80,81,242,80,1
8,홍길순,69,80,81,230,76,1
9,jpowys8,89,71,71,231,77,1
10,ldaintith9,87,82,70,239,79,1
11,blevershaa,82,92,83,257,85,1
12,bwincklesb,71,95,83,249,83,1
13,sedsallc,100,57,75,232,77,1
14,llarrosad,65,50,93,208,69,1
15,gdanigele,86,95,85,266,88,1
16,breinhardf,63,69,58,190,63,1
17,jcanniffeg,98,66,66,230,76,1
18,eladymanh,70,79,62,211,70,1
19,rkeigi,87,68,63,218,72,1
20,mwathellj,58,63,60,181,60,1
